City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,altai,46.3722,96.2583,-4.72,58,13,9.21,MN,1701656733
304,monrovia,6.3005,-10.7969,24.87,82,89,3.05,LR,1701656733
305,upington,-28.4478,21.2561,22.21,23,0,2.57,ZA,1701656733
306,maintirano,-18.0667,44.0167,25.88,75,99,1.01,MG,1701656733
307,dickinson,29.4608,-95.0513,17.29,73,0,3.09,US,1701656734
308,bintulu,3.1667,113.0333,30.23,79,40,2.06,MY,1701656734
309,tindouf,27.6711,-8.1474,14.25,47,0,3.09,DZ,1701656734
310,lompoc,34.6391,-120.4579,15.99,83,0,8.49,US,1701656683
311,tianfu,37.1936,122.0511,9.86,56,19,5.75,CN,1701656734
312,greymouth,-42.4667,171.2,15.9,66,37,3.43,NZ,1701656734
313,palmer,42.1584,-72.3287,5.57,85,100,3.6,US,1701656735
314,kuta,-8.7233,115.1723,25.97,94,40,1.54,ID,1701656735
315,sola,-13.8833,167.55,26.89,84,97,8.49,VU,1701656735
316,kadan,50.3833,13.2667,-5.12,97,70,1.18,CZ,1701656735
317,yarmouth,41.7057,-70.2286,8.41,96,100,6.17,US,1701656735
318,el alto,-4.2714,-81.2147,19.81,86,61,5.97,PE,1701656735
319,sim,54.993,57.6982,-5.5,96,100,1.53,RU,1701656736
320,chernyshevskiy,63.0128,112.4714,-43.84,100,64,1.34,RU,1701656736
321,waddan,29.1614,16.139,13.47,85,1,4.07,LY,1701656736
322,boguchany,58.3814,97.4531,0.48,93,100,5.36,RU,1701656736
323,petrozavodsk,61.7849,34.3469,-10.3,99,100,2.0,RU,1701656736
324,nyurba,63.2842,118.3319,-50.33,100,73,0.53,RU,1701656736
325,vorkuta,67.5,64.0,-26.98,97,97,1.96,RU,1701656483
326,kuanda,56.3161,116.0806,-15.4,94,100,0.9,RU,1701656737
327,leh,34.1667,77.5833,-7.71,46,70,2.26,IN,1701656737
328,cabo san lucas,22.8909,-109.9124,24.31,62,0,0.0,MX,1701656638
329,flagstaff,35.1981,-111.6513,4.81,65,0,1.54,US,1701656597
330,alice springs,-23.7,133.8833,36.75,13,0,4.12,AU,1701656737
331,urzhar,47.093,81.6294,-0.6,69,100,4.54,KZ,1701656738
332,coquimbo,-29.9533,-71.3436,14.85,82,0,3.09,CL,1701656738
333,malango,-2.9627,119.9001,25.31,81,75,1.08,ID,1701656738
334,siddipet,18.1,78.85,20.9,70,100,2.3,IN,1701656738
335,huarmey,-10.0681,-78.1522,20.3,86,100,4.22,PE,1701656738
336,siwa oasis,29.2041,25.5195,14.4,74,0,2.08,EG,1701656738
337,pisco,-13.7,-76.2167,21.12,77,0,7.72,PE,1701656739
338,arraial do cabo,-22.9661,-42.0278,23.96,92,100,9.15,BR,1701656719
339,umbertide,43.3055,12.3366,4.34,82,47,2.0,IT,1701656739
340,kavaratti,10.5669,72.642,28.48,75,44,4.67,IN,1701656739
341,stettler,52.3168,-112.7186,-1.14,100,100,2.06,CA,1701656739
342,salta,-24.7859,-65.4117,16.43,92,100,2.57,AR,1701656119
343,tura,25.5198,90.2201,19.6,68,63,1.54,IN,1701656740
344,nikolayevsk-on-amure,53.1406,140.73,-9.38,85,100,1.72,RU,1701656740
345,kapuskasing,49.4169,-82.4331,-9.95,85,20,3.09,CA,1701656740
346,san clemente del tuyu,-36.3569,-56.7235,14.43,65,1,6.54,AR,1701656740
347,buka,40.8108,69.1986,9.44,43,60,0.47,UZ,1701656740
348,bestobe,52.4994,73.0975,-11.12,75,100,7.42,KZ,1701656740
349,newman,37.3138,-121.0208,14.45,50,100,1.34,US,1701656740
350,fukuecho,32.6881,128.8419,14.2,51,20,0.51,JP,1701656741
351,dzhetygara,52.1908,61.2006,-3.87,85,100,4.65,KZ,1701656741
352,san antonio de pale,-1.4014,5.6325,26.59,85,39,3.74,GQ,1701656741
353,basni,27.1667,73.65,15.68,48,0,3.14,IN,1701656741
354,yamada,39.4667,141.95,8.55,60,4,2.23,JP,1701656741
355,wamba,8.9333,8.6,23.23,36,25,2.11,NG,1701656741
356,akureyri,65.6835,-18.0878,-6.04,93,40,2.06,IS,1701656741
357,ust-nera,64.5667,143.2,-38.36,98,100,2.01,RU,1701656742
358,aykhal,66.0,111.5,-38.68,99,57,2.39,RU,1701656742
359,carupano,10.6678,-63.2585,24.93,89,7,4.17,VE,1701656742
360,tucuma,-0.1833,-50.05,26.34,82,64,3.67,BR,1701656742
